연번;자치구명;도로명;세부도로명;설치지점;쓰레기종류
1;종로구;사직로;경복궁역 4번출구;지하철역 입구;일반쓰레기
2;종로구;사직로;경복궁역 4번출구;지하철역 입구;재활용쓰레기
3;종로구;자하문로;자하문로 28;도로(가로)변;일반쓰레기
4;종로구;자하문로;자하문로 28; 도로(가로)변;재활용쓰레기
5;종로구;자하문로;자하문로 44; 도로(가로)변;일반쓰레기
6;종로구;자하문로;자하문로 44; 도로(가로)변;재활용쓰레기
7;종로구;자하문로;자하문로 68(효자동 정류소); 정류장(버스, 택시 등);일반쓰레기
8;종로구;자하문로;자하문로 68(효자동 정류소); 정류장(버스, 택시 등);재활용쓰레기
9;종로구;효자로;청와대 분수대(사랑채); 광장 등 다중집합장소;일반쓰레기
10;종로구;효자로;청와대 분수대(사랑채); 광장 등 다중집합장소;재활용쓰레기
11;종로구;자하문로;자하문로13-4앞; 도로(가로)변;일반쓰레기
12;종로구;자하문로;자하문로13-4앞; 도로(가로)변;재활용쓰레기
13;종로구;율곡로;삼청로1 맞은편 인도;광장, 공원 등 다중집합장소;일반쓰레기
14;종로구;율곡로;삼청로1 맞은편 인도;광장, 공원 등 다중집합장소;재활용쓰레기
15;종로구;자하문로;자하문로1길 26;상가지역;담배꽁초
16;종로구;자하문로;자하문로1길 12;상가지역;담배꽁초
17;종로구;자하문로;자하문로1길 50-1;상가지역;담배꽁초
18;종로구;자하문로;자하문로1길 34;상가지역;담배꽁초
19;종로구;자하문로;자하문로1길 49-4;상가지역;담배꽁초
20;종로구;자하문로;자하문로103-19;상가지역;담배꽁초
21;종로구;자하문로;자하문로1길 33;상가지역;담배꽁초
22;종로구;자하문로;자하문로1길 103-4;상가지역;담배꽁초
23;종로구;자하문로;자하문로1길 49-4;상가지역;담배꽁초
24;종로구;자하문로;자하문로1길 21;상가지역;담배꽁초
25;종로구;자하문로;자하문로1길 3-2;상가지역;담배꽁초
26;종로구;자하문로;자하문로1길 5;상가지역;담배꽁초
27;종로구;자하문로;자하문로1길 3;상가지역;담배꽁초
28;종로구;자하문로;자하문로 13-2;도로(가로)변;일반쓰레기
29;종로구;자하문로;자하문로 13-2;도로(가로)변;재활용쓰레기
30;종로구;자하문로;자하문로 82(경복궁 아트홀);도로(가로)변;일반쓰레기
31;종로구;자하문로;자하문로 82(경복궁 아트홀);도로(가로)변;재활용쓰레기
32;종로구;필운대로6길;사직동 주민센터;도로(가로)변;일반쓰레기
33;종로구;필운대로6길;사직동 주민센터;도로(가로)변;재활용쓰레기
34;종로구;새문안로;신문로2가 흥국생명 뒷편; 도로(가로)변;담배꽁초
35;종로구;새문안로;신문로2가 흥국생명 뒷편; 도로(가로)변;일반쓰레기
36;종로구;새문안로;새문안로 82 에스타워; 도로(가로)변;일반쓰레기
37;종로구;새문안로;새문안로 82 에스타워; 도로(가로)변;재활용쓰레기
38;종로구;세종대로;광화문 버스정류장(01-009);정류소(버스, 택시 등);일반쓰레기
39;종로구;세종대로;광화문 버스정류장(01-009);정류장(버스, 택시 등);일반쓰레기
40;종로구;청계천로;청계천입구;도로(가로)변;일반쓰레기
